,Department,Name,Price,Reviews
177,"Arts, Crafts & Sewing",CICIMELON Large Capacity Pencil Case 3 Compartment Pouch Pen Bag for School…,$10.99,"1,342"
178,"Arts, Crafts & Sewing","Rit, Black Purpose Powder Dye, 1-1/8 oz",$1.17 - $10.88,"13,625"
179,"Arts, Crafts & Sewing","Cricut Explore Air 2, Blue",$169.00 - $554.57,"24,901"
180,"Arts, Crafts & Sewing","Disappearing Purple School Glue Sticks, 0.24 oz Each, 4 Sticks per Pack",$1.11 - $8.60,
181,"Arts, Crafts & Sewing","Leather Repair Tape 3 X 60 inch Patch Leather Adhesive for Sofas, Car Seats, Handbags,…",$14.98,"13,863"
182,"Arts, Crafts & Sewing",Silicone Earring Backs Earring Backings Soft Clear Ear Safety Back Pads Backstops Bullet…,$5.99 - $9.99,"21,113"
183,"Arts, Crafts & Sewing","Exact Inkjet, Laser Print Index Paper",$9.99 - $82.15,
184,"Arts, Crafts & Sewing","MumCraft Multipurpose Sewing Clips with Tin Box Package, Assorted Colors, Pack of 100",$7.64,"28,806"
185,"Arts, Crafts & Sewing","Gorilla Dual Temp Mini Hot Glue Gun Kit with 30 Hot Glue Sticks, (Pack of 1) & Hot Glue…",$12.49 - $33.26,"19,300"
186,"Arts, Crafts & Sewing","Apple Barrel Acrylic Paint in Assorted Colors (16 Ounce), 21148 Black",$4.47 - $28.18,"14,135"
187,"Arts, Crafts & Sewing","Poly Fil Premium Fiber Fill, 32-Ounce",$9.99 - $49.00,"11,665"
188,"Arts, Crafts & Sewing",Embroidery Floss Rainbow Color 50 Skeins Per Pack Cross Stitch Threads Friendship…,$6.99,"9,793"
189,"Arts, Crafts & Sewing","Apple Barrel PROMOABI 18pc Matte Finish Acrylic Craft Paint Set, 2 fl oz / 59 ml,…",$18.47,"27,112"
190,"Arts, Crafts & Sewing","Soucolor Acrylic Paint Brushes Set, 20Pcs Round Pointed Tip Artist Paintbrushes for…",$5.99 - $6.99,"18,293"
191,"Arts, Crafts & Sewing","Mr. Pen- Safety Pins, Safety Pins Assorted, 300 Pack, Assorted Safety Pins, Safety Pin, Small…",$5.65,"4,786"
192,"Arts, Crafts & Sewing","Crayola Broad Line Markers, Classic Colors 10 Each",$1.99 - $11.36,587
